Total Cases,Deaths,Recovered,Total Cases Number,Deaths Number,Recovered Number,Date,Currently Positive,Currently Positive Number
0.0,0.0,0.0,0,0,0,1/22/20,0.0,0
0.0,0.0,0.0,0,0,0,1/23/20,0.0,0
0.0,0.0,0.0,0,0,0,1/24/20,0.0,0
0.0,0.0,0.0,0,0,0,1/25/20,0.0,0
0.0,0.0,0.0,0,0,0,1/26/20,0.0,0
0.0,0.0,0.0,0,0,0,1/27/20,0.0,0
0.0,0.0,0.0,0,0,0,1/28/20,0.0,0
0.0,0.0,0.0,0,0,0,1/29/20,0.0,0
7.318406080956117e-10,0.0,0.0,1,0,0,1/30/20,7.318406080956117e-10,1
7.318406080956117e-10,0.0,0.0,1,0,0,1/31/20,7.318406080956117e-10,1
7.318406080956117e-10,0.0,0.0,1,0,0,2/1/20,7.318406080956117e-10,1
1.4636812161912234e-09,0.0,0.0,2,0,0,2/2/20,1.4636812161912234e-09,2
2.195521824286835e-09,0.0,0.0,3,0,0,2/3/20,2.195521824286835e-09,3
2.195521824286835e-09,0.0,0.0,3,0,0,2/4/20,2.195521824286835e-09,3
2.195521824286835e-09,0.0,0.0,3,0,0,2/5/20,2.195521824286835e-09,3
2.195521824286835e-09,0.0,0.0,3,0,0,2/6/20,2.195521824286835e-09,3
2.195521824286835e-09,0.0,0.0,3,0,0,2/7/20,2.195521824286835e-09,3
2.195521824286835e-09,0.0,0.0,3,0,0,2/8/20,2.195521824286835e-09,3
2.195521824286835e-09,0.0,0.0,3,0,0,2/9/20,2.195521824286835e-09,3
2.195521824286835e-09,0.0,0.0,3,0,0,2/10/20,2.195521824286835e-09,3
2.195521824286835e-09,0.0,0.0,3,0,0,2/11/20,2.195521824286835e-09,3
2.195521824286835e-09,0.0,0.0,3,0,0,2/12/20,2.195521824286835e-09,3
2.195521824286835e-09,0.0,0.0,3,0,0,2/13/20,2.195521824286835e-09,3
2.195521824286835e-09,0.0,0.0,3,0,0,2/14/20,2.195521824286835e-09,3
2.195521824286835e-09,0.0,0.0,3,0,0,2/15/20,2.195521824286835e-09,3
2.195521824286835e-09,0.0,2.195521824286835e-09,3,0,3,2/16/20,0.0,0
2.195521824286835e-09,0.0,2.195521824286835e-09,3,0,3,2/17/20,0.0,0
2.195521824286835e-09,0.0,2.195521824286835e-09,3,0,3,2/18/20,0.0,0
2.195521824286835e-09,0.0,2.195521824286835e-09,3,0,3,2/19/20,0.0,0
2.195521824286835e-09,0.0,2.195521824286835e-09,3,0,3,2/20/20,0.0,0
2.195521824286835e-09,0.0,2.195521824286835e-09,3,0,3,2/21/20,0.0,0
2.195521824286835e-09,0.0,2.195521824286835e-09,3,0,3,2/22/20,0.0,0
2.195521824286835e-09,0.0,2.195521824286835e-09,3,0,3,2/23/20,0.0,0
2.195521824286835e-09,0.0,2.195521824286835e-09,3,0,3,2/24/20,0.0,0
2.195521824286835e-09,0.0,2.195521824286835e-09,3,0,3,2/25/20,0.0,0
2.195521824286835e-09,0.0,2.195521824286835e-09,3,0,3,2/26/20,0.0,0
2.195521824286835e-09,0.0,2.195521824286835e-09,3,0,3,2/27/20,0.0,0
2.195521824286835e-09,0.0,2.195521824286835e-09,3,0,3,2/28/20,0.0,0
2.195521824286835e-09,0.0,2.195521824286835e-09,3,0,3,2/29/20,0.0,0
2.195521824286835e-09,0.0,2.195521824286835e-09,3,0,3,3/1/20,0.0,0
3.6592030404780585e-09,0.0,2.195521824286835e-09,5,0,3,3/2/20,1.4636812161912234e-09,2
3.6592030404780585e-09,0.0,2.195521824286835e-09,5,0,3,3/3/20,1.4636812161912234e-09,2
2.0491537026677128e-08,0.0,2.195521824286835e-09,28,0,3,3/4/20,1.8296015202390293e-08,25
2.195521824286835e-08,0.0,2.195521824286835e-09,30,0,3,3/5/20,1.9759696418581516e-08,27
2.2687058850963963e-08,0.0,2.195521824286835e-09,31,0,3,3/6/20,2.0491537026677128e-08,28
2.4882580675250798e-08,0.0,2.195521824286835e-09,34,0,3,3/7/20,2.2687058850963963e-08,31
2.8541783715728857e-08,0.0,2.195521824286835e-09,39,0,3,3/8/20,2.634626189144202e-08,36
3.1469146148111303e-08,0.0,2.195521824286835e-09,43,0,3,3/9/20,2.9273624323824468e-08,40
4.0983074053354255e-08,0.0,2.927362432382447e-09,56,0,4,3/10/20,3.805571162097181e-08,52
4.5374117701927926e-08,7.318406080956117e-10,2.927362432382447e-09,62,1,4,3/11/20,4.171491466144987e-08,57
5.3424364390979654e-08,7.318406080956117e-10,2.927362432382447e-09,73,1,4,3/12/20,4.9765161350501596e-08,68
6.001092986384016e-08,1.4636812161912234e-09,2.927362432382447e-09,82,2,4,3/13/20,5.561988621526649e-08,76
7.46477420257524e-08,1.4636812161912234e-09,2.927362432382447e-09,102,2,4,3/14/20,7.025669837717872e-08,96
8.269798871480413e-08,1.4636812161912234e-09,9.513927905242952e-09,113,2,13,3/15/20,7.172037959336996e-08,98
8.70890323633778e-08,1.4636812161912234e-09,9.513927905242952e-09,119,2,13,3/16/20,7.611142324194362e-08,104
1.0392136634957686e-07,2.195521824286835e-09,1.0245768513338564e-08,142,3,14,3/17/20,9.148007601195146e-08,125
1.1416713486291543e-07,2.195521824286835e-09,1.0245768513338564e-08,156,3,14,3/18/20,1.0172584452529003e-07,139
1.4197707797054868e-07,2.927362432382447e-09,1.0977609121434176e-08,194,4,15,3/19/20,1.2807210641673206e-07,175
1.7856910837532926e-07,3.6592030404780585e-09,1.4636812161912234e-08,244,5,20,3/20/20,1.6027309317293897e-07,219
2.4150740067155185e-07,2.927362432382447e-09,1.683233398619907e-08,330,4,23,3/21/20,2.2174770425297033e-07,303
2.8980888080586226e-07,5.122884256669282e-09,1.9759696418581516e-08,396,7,27,3/22/20,2.649263001306115e-07,362
3.6518846343971025e-07,7.318406080956117e-09,1.9759696418581516e-08,499,10,27,3/23/20,3.381103609401726e-07,462
3.922665659392479e-07,7.318406080956117e-09,2.9273624323824468e-08,536,10,40,3/24/20,3.556745355344673e-07,486
4.808192795188169e-07,8.78208729714734e-09,3.1469146148111303e-08,657,12,43,3/25/20,4.4056804607355823e-07,602
5.320481220855097e-07,1.4636812161912234e-08,3.293282736430253e-08,727,20,45,3/26/20,4.84478482559295e-07,662
6.491426193808076e-07,1.4636812161912234e-08,5.3424364390979654e-08,887,20,73,3/27/20,5.810814428279157e-07,794
7.223266801903688e-07,1.756417459429468e-08,6.147461108003138e-08,987,24,84,3/28/20,6.432878945160427e-07,879
7.494047826899064e-07,1.9759696418581516e-08,6.952485776908312e-08,1024,27,95,3/29/20,6.601202285022418e-07,902
